iter	Passed	Remaining
0	1	163
1	3	147
2	4	148
3	5	131
4	7	137
5	8	134
6	9	132
7	11	127
8	12	124
9	13	121
10	14	119
11	16	121
12	17	119
13	19	116
14	20	114
15	21	111
16	22	109
17	23	108
18	25	107
19	26	105
20	27	104
21	28	102
22	30	100
23	31	99
24	32	98
25	34	96
26	35	95
27	36	93
28	37	91
29	38	90
30	39	88
31	40	86
32	42	85
33	43	83
34	44	82
35	45	81
36	46	79
37	47	78
38	48	76
39	50	75
40	51	73
41	51	71
42	52	70
43	54	68
44	55	67
45	56	66
46	57	64
47	58	63
48	60	62
49	61	61
50	62	60
51	63	58
52	64	57
53	65	56
54	66	54
55	68	53
56	69	52
57	70	51
58	71	50
59	73	48
60	74	47
61	75	46
62	76	45
63	77	43
64	79	42
65	80	41
66	81	40
67	83	39
68	84	37
69	85	36
70	86	35
71	87	34
72	89	33
73	90	31
74	92	30
75	93	29
76	94	28
77	95	26
78	96	25
79	97	24
80	98	23
81	100	21
82	101	20
83	102	19
84	103	18
85	104	17
86	106	15
87	107	14
88	108	13
89	109	12
90	111	10
91	112	9
92	113	8
93	114	7
94	115	6
95	117	4
96	118	3
97	120	2
98	121	1
99	122	0
